大果藤黄,"[9.92, 9.92, 9.45, 9.45, 9.45, 9.92, 19.28, 19.28, 19.3, 18.93, 9.39, 9.39, 9.39, 9.45, 9.45, 9.45, 9.45, 9.45, 9.39, 9.39, 9.39, 9.39, 9.39, 9.39, 9.95, 9.95, 9.95, 9.95, 16, 9.45, 9.92]"
毛丹,"[20.58, 9.29, 12.69, 20.39, 17.62, 17.62, 22.33, 17.71, 21.01, 21.01, 17.12, 14.67, 14.67, 14.67, 15.16, 19.14, 19.14, 19.14, 19.14, 19.14, 17.55, 18.01, 15.18, 15.12, 16.49, 16.49, 16.49, 18.29, 8.6, 20.18, 19.93]"
嘉宝果,"[44.54, 44.54, 60.94, 60.94, 57.45, 43.71, 46.08, 49.47, 51.63, 45.04, 49.07, 49.09, 55.53, 45.9, 42.42, 42.42, 42.76, 42.76, 46.89, 37.75, 40.22, 46.81, 46.81, 50.76, 49.94, 44.88, 44.88, 42.52, 33.96, 39.8, 39.8]"
释迦,"[20, 50, 50, 50, 50, 50, 50, 31.5, 31.5, 31.5, 31.5, 13, 13, 31.5, 31.5, 50, 50, 31.5, 31.5, 31.5, 31.5, 50, 31.5, 31.5, 31.5, 31.5, 31.5, 31.5, 13, 50, 50]"
尖蜜拉,"[7.98, 8.06, 7.6, 7.36, 7.36, 7.16, 7.16, 8.18, 8.16, 7.44, 8.14, 8.14, 6.47, 7.24, 9.01, 9.01, 9.01, 8.92, 8.76, 8.8, 9.88, 9.96, 11.4, 11.45, 8.94, 9.43, 8.75, 8.75, 9.67, 7.9, 8]"
杨桃,"[1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 7.57, 6.96, 6.96, 6.96, 6.85, 6.1, 6.1, 6.1, 6.37, 5.03, 5.01, 4.99, 4.99, 5.01, 4.92, 4.92, 4.97, 4.95, 5.04, 5.13, 3.46, 3.1, 4.88, 4.91]"
牛油果,"[13.43, 9, 13.43, 17.84, 17.84, 9, 17.84, 13.43, 13.14, 10.85, 13.01, 13.01, 13.01, 12.35, 8.53, 8.53, 8.53, 8.35, 8.35, 8.35, 11.39, 11.39, 11.39, 11.39, 12.52, 12.52, 11.39, 11.39, 14, 11.39, 12.52]"
橄榄,"[13.67, 13.91, 11.91, 11.79, 11.59, 11.67, 11.03, 10.57, 10.59, 10.55, 12.11, 12.61, 12.54, 9.61, 9.25, 10.11, 9.93, 9.97, 10.09, 6.59, 6.52, 6.49, 5.74, 5.86, 7.24, 8.37, 7.77, 8.79, 4.79, 7.09, 9.57]"
莲雾,"[21.65, 19.63, 18.54, 18.47, 20.18, 18.53, 18.46, 20.33, 19.23, 19.23, 20.77, 15.56, 16.94, 16.52, 16.52, 16.52, 15.67, 23.39, 15.68, 15.68, 16.31, 15.99, 15.23, 15.23, 15.23, 15.23, 15.87, 17.12, 12, 17.12, 13.12]"
甘蔗,"[3.29, 3.21, 3.07, 3.37, 3.31, 1.23, 1.18, 3.04, 3.21, 3.39, 3.33, 3.43, 3.47, 3.3, 3.27, 3.37, 3.22, 3.35, 3.38, 1.25, 1.01, 1.07, 3.31, 3.52, 3.71, 3.7, 1, 2.99, 4.11, 2.99, 3.35]"
龙眼,"[9.04, 8.84, 8.88, 8.85, 8.8, 8.8, 8.8, 8.8, 10.69, 8.94, 8.86, 8.89, 9.4, 9.38, 9.43, 9.35, 9.3, 9.42, 9.37, 9.53, 9.59, 9.48, 9.53, 7.04, 7.21, 7.19, 7.67, 7.64, 7.96, 7.52, 7.52]"
番石榴,"[5.64, 5.67, 5.74, 5.49, 5.68, 5.68, 5.31, 5.62, 5.49, 5.39, 5.87, 5.76, 5.31, 5.82, 5.65, 5.66, 5.93, 6.03, 6.14, 5.93, 6.04, 5.96, 3.44, 3.61, 3.35, 3.38, 5.96, 5.81, 9.02, 5.99, 5.84]"
